Q#,Subject,Section,Complexity,Question,Answer,Answer Choice Label,A,B,C,D,Marks,Time Given
1,Systems,Systems,Medium,"Which of the following databases is likely to perform better for large analytical queries (e.g., calculating averages or totals on large datasets, like: SELECT sum(col_1) FROM table_1;)?","A database that stores data in columns, with each column containing all values for a specific field.",B,"A database that stores data in rows, with each record containing all fields of a single entry.","A database that stores data in columns, with each column containing all values for a specific field.",A database that uses only in-memory storage to keep data for all types of queries.,A database that compresses data based on row patterns & stores them in-memory.,3,3 Mins
2,Systems,Systems,Medium,"In a single core machine when transitioning from Process 1 to Process 2 during execution, which event typically triggers the switch?"," Process 1 is preempted and swapped out by an interrupt from the hardware, such as a timer.",C,Process 1 explicitly tells Process 2 to take over when it initiates I/O operations.,Process 1 is preempted and swapped out by an interrupt generated by Process 2.," Process 1 is preempted and swapped out by an interrupt from the hardware, such as a timer.",Process 1 needs to be swapped by user manually,3,3 Mins
3,Systems,Systems,Medium,"In a multithreaded program where threads access a shared data structure, mutexes should be used __________",To ensure only one thread accesses the shared structure at a time,C,Only when running on multi-core systems,Only if there are more than two threads,To ensure only one thread accesses the shared structure at a time,When threads are not sharing data,3,3 Mins
4,Systems,Systems,Medium,"Consider the following code snippet: int ret1 = fork(); int ret2 = fork(); wait(); How many child processes are created by this code?",3,C,1,2,3,4,3,3 Mins
5,Systems,Systems,Medium,"Consider a system with three processes P1, P2, and P3 with burst times 5, 9, and 3, respectively, and a time slice of 3 units in a round-robin scheduler. Calculate the completion time of P3. Assume we start with P1 ,P2 and P3 in this order.",9 units,B,6 units,9 units,12 units,15 units,3,3 Mins
6,Systems,Systems,Medium,"Suppose we allocate 10 integers dynamically during runtime & x is the pointer to the address of the first integer. Where is the memory for the variable `x` and the 10 integers allocated?","`x` is allocated on the stack, and the integers are allocated on the heap.",D,"`x` is allocated on the heap, and the integers are allocated on the heap.","`x` is allocated on the stack, and the integers are allocated on the stack.","`x` is allocated on the heap, and the integers are allocated on the stack.","`x` is allocated on the stack, and the integers are allocated on the heap.",3,3 Mins
7,Systems,Systems,Medium,"When we say that the server is running at port 8000, what does port mean here? (Similar to 4)",It is a software level identifier for network communication.,A,It is a software level identifier for network communication.,It is a software level identifier for network communication.,Various ports in the system are pre-defined for all applications.,None of the above,3,3 Mins
8,Mathematics,Maths_1,Hard,"When 18 friends are arranged anywhere inside or along the edge of a circle with a radius of 1 unit, how many distinct pairs of friends will be assured to be within a distance of less than 1 unit from each other? (They can overlap on each other)",Atleast 18,D,Atleast 12,Atleast 14,Atleast 16,Atleast 18,5,5 Mins
9,Mathematics,Maths_2,Easy,A game involves rolling a fair 6-sided die. You win the game if the sum of two rolls is divisible by 4. What is the probability of winning the game?,0.25,A,0.25,0.33,0.16,0.2,3,3 Mins
10,Physics,Physics,Hard,"Two objects of mass m are placed on two wedges of mass M = 2*m. These small objects are connected by two pulleys on the top corner of the wedge. The wedge angle is θ1 = θ2 = 60 degrees. Gravity being G. Which one is right about the system? m1 = m2 = m, M1 = M2 = 2*m, d = 3 m, g = 10 m/s^2. Note: String is non-elastic and all surfaces are frictionless.","Collision speed = 2.94 m/s",B,"Objects will remain as is and not move as no force is acting on them. Collision speed is zero","Collision speed = 2.94 m/s",Collision speed = 2.53 m/s,Collision speed = 3.48 m/s,7,7 Mins
